Temperature (°C),Relative Humidity,UVB Radiation (W/m²),UV Index,UVA Radiation (W/m²),Specific Humidity (g/kg),Relative Humidity (%),Precipitation (mm),Wind Speed (10m) (m/s),"Is Holiday (1=Open, 0=Closed)",Year,Month,Day,Hour,"Weekday (0=Sun, 6=Sat)",Inflation Rate (%),Electric Load (MW)
0.3125,0.9,0.64,3.4,22.64,18.98,0.778136646,0.03,0.264968153,1,2009,2,1,10,6,0.58,62674
0.4375,0.9,1.04,5.38,31.74,18.8,0.700372671,0.06,0.272611465,1,2009,2,1,11,6,0.58,64199
0.5,0.9,1.4,6.95,39.55,18.74,0.635031056,0.07,0.305732484,1,2009,2,1,12,6,0.58,63426
0.5625,0.913333333,1.35,6.77,38.34,18.74,0.602484472,0.1,0.359235669,1,2009,2,1,13,6,0.58,62501
0.5625,0.926666667,1.22,6.1,36.19,18.8,0.599503106,0.1,0.359235669,1,2009,2,1,14,6,0.58,63652
0.5,0.94,0.98,5.33,32.84,18.86,0.616645963,0.11,0.30955414,1,2009,2,1,15,6,0.58,63210
0.5,0.95,0.55,2.83,24.09,18.92,0.65689441,0.09,0.264968153,1,2009,2,1,16,6,0.58,62199
0.5,0.96,0.18,0.9,13.29,19.23,0.742360248,0.06,0.243312102,1,2009,2,1,17,6,0.58,54278
0.4375,0.97,0.02,0.08,3.47,19.41,0.837018634,0.04,0.243312102,1,2009,2,1,18,6,0.58,50700
0.4375,0.97,0,0,0,19.29,0.891428571,0.03,0.27388535,1,2009,2,1,19,6,0.58,52979
0.375,0.97,0,0,0,19.23,0.900621118,0.03,0.327388535,1,2009,2,1,20,6,0.58,50947
0.3125,0.97,0,0,0,19.17,0.914782609,0.03,0.36433121,1,2009,2,1,21,6,0.58,41600
0.25,0.973333333,0,0,0,19.17,0.925465839,0.04,0.389808917,1,2009,2,1,22,6,0.58,35936
0.25,0.976666667,0,0,0,19.1,0.931677019,0.06,0.403821656,1,2009,2,1,23,6,0.58,32087
0.25,0.98,0,0,0,19.04,0.939627329,0.08,0.415286624,1,2009,3,1,0,6,0.58,29645
0.25,0.976666667,0,0,0,18.98,0.945590062,0.09,0.412738854,1,2009,3,1,1,6,0.58,28288
0.25,0.973333333,0,0,0,18.86,0.947329193,0.11,0.402547771,1,2009,3,1,2,6,0.58,26990
0.25,0.97,0,0,0,18.74,0.941118012,0.12,0.397452229,1,2009,3,1,3,6,0.58,26284
0.1875,0.973333333,0,0,0,18.68,0.937888199,0.13,0.389808917,1,2009,3,1,4,6,0.58,26047
0.1875,0.976666667,0,0,0,18.62,0.937888199,0.11,0.393630573,1,2009,3,1,5,6,0.58,25965
0.1875,0.98,0,0,0,18.62,0.931677019,0.08,0.406369427,1,2009,3,1,6,6,0.58,27347
0.1875,0.976666667,0,0.02,1.03,18.68,0.920745342,0.06,0.434394904,1,2009,3,1,7,6,0.58,29320
0.25,0.973333333,0.07,0.33,6.05,18.8,0.891428571,0.3,0.492993631,1,2009,3,1,8,6,0.58,33989
0.25,0.97,0.28,1.4,13.14,18.86,0.860372671,0.25,0.527388535,1,2009,3,1,9,6,0.58,44474
0.3125,0.966666667,0.74,3.98,25.88,18.8,0.812173913,0.19,0.56433121,1,2009,3,1,10,6,0.58,51617
0.375,0.963333333,0.92,4.77,27.62,18.68,0.751552795,0.21,0.606369427,1,2009,3,1,11,6,0.58,52517
0.375,0.96,1.03,5.1,28.87,18.55,0.691180124,0.2,0.634394904,1,2009,3,1,12,6,0.58,50691
0.375,0.963333333,1.07,5.35,29.55,18.37,0.639751553,0.28,0.640764331,1,2009,3,1,13,6,0.58,47800
0.4375,0.966666667,1.01,5,28.7,18.25,0.596273292,0.37,0.629299363,1,2009,3,1,14,6,0.58,47629
0.4375,0.97,0.85,4.67,27.88,18.07,0.576149068,0.39,0.597452229,1,2009,3,1,15,6,0.58,46962
0.375,0.97,0.45,2.33,18.64,17.94,0.594782609,0.35,0.554140127,1,2009,3,1,16,6,0.58,46680
0.375,0.97,0.16,0.75,9.96,17.94,0.65068323,0.22,0.500636943,1,2009,3,1,17,6,0.58,45825
0.3125,0.97,0.02,0.05,3.18,17.94,0.728447205,0.16,0.443312102,1,2009,3,1,18,6,0.58,46635
0.3125,0.973333333,0,0,0,17.82,0.773416149,0.15,0.431847134,1,2009,3,1,19,6,0.58,50761
0.25,0.976666667,0,0,0,17.7,0.792049689,0.14,0.433121019,1,2009,3,1,20,6,0.58,49260
0.25,0.98,0,0,0,17.64,0.812173913,0.14,0.431847134,1,2009,3,1,21,6,0.58,40557
0.25,0.976666667,0,0,0,17.58,0.83378882,0.15,0.424203822,1,2009,3,1,22,6,0.58,34675
0.1875,0.973333333,0,0,0,17.58,0.854161491,0.17,0.402547771,1,2009,3,1,23,6,0.58,31996
0.1875,0.97,0,0,0,17.58,0.874285714,0.19,0.382165605,0,2009,4,1,0,2,0.58,29536
0.1875,0.973333333,0,0,0,17.7,0.897639752,0.22,0.363057325,0,2009,4,1,1,2,0.58,28364
0.25,0.976666667,0,0,0,17.82,0.916273292,0.23,0.346496815,0,2009,4,1,2,2,0.58,26949
0.25,0.98,0,0,0,17.88,0.927204969,0.23,0.333757962,0,2009,4,1,3,2,0.58,25615
0.25,0.976666667,0,0,0,17.94,0.931677019,0.21,0.329936306,0,2009,4,1,4,2,0.58,25146
0.25,0.973333333,0,0,0,18.01,0.931677019,0.21,0.331210191,0,2009,4,1,5,2,0.58,24969
0.25,0.97,0,0,0,18.07,0.931677019,0.2,0.336305732,0,2009,4,1,6,2,0.58,24833
0.25,0.97,0,0.02,1.06,18.19,0.930186335,0.17,0.343949045,0,2009,4,1,7,2,0.58,23998
0.25,0.97,0.09,0.42,7.55,18.49,0.900621118,0.06,0.387261146,0,2009,4,1,8,2,0.58,25935
0.3125,0.97,0.37,1.83,17.1,18.68,0.854161491,0.05,0.414012739,0,2009,4,1,9,2,0.58,35521
0.375,0.956666667,0.74,4,25.77,18.62,0.782608696,0.07,0.426751592,0,2009,4,1,10,2,0.58,41549
0.5,0.943333333,1.05,5.48,31.55,18.43,0.703602484,0.08,0.45477707,0,2009,4,1,11,2,0.58,42181
0.625,0.93,1.16,5.75,32.42,18.25,0.642981366,0.09,0.485350318,0,2009,4,1,12,2,0.58,42797
0.5625,0.906666667,1.23,6.17,33.87,18.25,0.597763975,0.09,0.492993631,0,2009,4,1,13,2,0.58,42573
0.5,0.883333333,1.12,5.52,32.12,18.19,0.566956522,0.08,0.486624204,0,2009,4,1,14,2,0.58,42768
0.5,0.86,0.88,4.83,28.56,18.19,0.565217391,0.06,0.467515924,0,2009,4,1,15,2,0.58,42478
0.5,0.856666667,0.51,2.62,20.85,18.31,0.599503106,0.05,0.439490446,0,2009,4,1,16,2,0.58,41759
0.4375,0.853333333,0.17,0.85,11.34,18.49,0.661614907,0.03,0.41656051,0,2009,4,1,17,2,0.58,41730
0.375,0.85,0.02,0.05,2.78,18.68,0.765714286,0.02,0.374522293,0,2009,4,1,18,2,0.58,43558
0.3125,0.89,0,0,0,18.55,0.843229814,0.02,0.371974522,0,2009,4,1,19,2,0.58,46955
0.3125,0.93,0,0,0,18.49,0.869565217,0.02,0.393630573,0,2009,4,1,20,2,0.58,45841
0.25,0.97,0,0,0,18.43,0.891428571,0.02,0.398726115,0,2009,4,1,21,2,0.58,37817
0.25,0.97,0,0,0,18.37,0.906832298,0.02,0.397452229,0,2009,4,1,22,2,0.58,31649
0.25,0.97,0,0,0,18.31,0.913043478,0.03,0.393630573,0,2009,4,1,23,2,0.58,28601
0.25,0.97,0,0,0,18.25,0.917763975,0.03,0.392356688,1,2009,5,1,0,4,0.58,28846
0.1875,0.97,0,0,0,18.25,0.920745342,0.03,0.403821656,1,2009,5,1,1,4,0.58,27669
0.1875,0.97,0,0,0,18.19,0.923975155,0.03,0.417834395,1,2009,5,1,2,4,0.58,26661
0.1875,0.97,0,0,0,18.19,0.928695652,0.03,0.428025478,1,2009,5,1,3,4,0.58,25805
0.1875,0.97,0,0,0,18.07,0.930186335,0.03,0.424203822,1,2009,5,1,4,4,0.58,26181
0.1875,0.97,0,0,0,18.01,0.927204969,0.02,0.412738854,1,2009,5,1,5,4,0.58,27499
0.125,0.97,0,0,0,17.88,0.925465839,0.02,0.401273885,1,2009,5,1,6,4,0.58,30108
0.125,0.966666667,0.01,0.02,1.41,18.07,0.910062112,0.01,0.4,1,2009,5,1,7,4,0.58,36221
0.1875,0.963333333,0.1,0.5,9.97,18.49,0.837018634,0.05,0.463694268,1,2009,5,1,8,4,0.58,47377
0.3125,0.96,0.42,2.1,21.23,18.74,0.734409938,0.09,0.536305732,1,2009,5,1,9,4,0.58,58317
0.4375,0.923333333,0.89,4.77,32.3,18.8,0.632049689,0.15,0.603821656,1,2009,5,1,10,4,0.58,63803
0.5,0.886666667,1.31,6.88,40.48,18.8,0.563726708,0.26,0.626751592,1,2009,5,1,11,4,0.58,64688
0.625,0.85,1.45,7.3,41.36,18.86,0.517267081,0.38,0.631847134,1,2009,5,1,12,4,0.58,64566
0.6875,0.836666667,1.66,8.42,45.73,18.92,0.495403727,0.36,0.61910828,1,2009,5,1,13,4,0.58,63859
0.625,0.823333333,1.51,7.58,43.82,18.98,0.498385093,0.32,0.591082803,1,2009,5,1,14,4,0.58,65080
0.625,0.81,1.1,6.02,36.46,19.04,0.532670807,0.3,0.560509554,1,2009,5,1,15,4,0.58,63998
0.625,0.826666667,0.61,3.12,25.68,19.23,0.602484472,0.23,0.515923567,1,2009,5,1,16,4,0.58,61603
0.625,0.843333333,0.19,0.92,12.68,19.35,0.687950311,0.15,0.481528662,1,2009,5,1,17,4,0.58,52972
0.5625,0.86,0.02,0.08,3.28,19.29,0.779627329,0.14,0.452229299,1,2009,5,1,18,4,0.58,50044
0.4375,0.9,0,0,0,19.1,0.85863354,0.14,0.445859873,1,2009,5,1,19,4,0.58,51883
0.375,0.94,0,0,0,18.92,0.889937888,0.14,0.459872611,1,2009,5,1,20,4,0.58,50579
0.375,0.98,0,0,0,18.74,0.910062112,0.13,0.461146497,1,2009,5,1,21,4,0.58,41658
0.3125,0.97,0,0,0,18.55,0.919254658,0.13,0.461146497,1,2009,5,1,22,4,0.58,35432
0.3125,0.96,0,0,0,18.49,0.930186335,0.14,0.452229299,1,2009,5,1,23,4,0.58,30607
0.3125,0.95,0,0,0,18.43,0.937888199,0.16,0.429299363,1,2009,6,1,0,0,0.58,26446
0.3125,0.95,0,0,0,18.37,0.944099379,0.19,0.412738854,1,2009,6,1,1,0,0.58,25501
0.25,0.95,0,0,0,18.31,0.941118012,0.2,0.421656051,1,2009,6,1,2,0,0.58,24399
0.25,0.95,0,0,0,18.25,0.945590062,0.2,0.415286624,1,2009,6,1,3,0,0.58,23654
0.25,0.946666667,0,0,0,18.13,0.947329193,0.19,0.410191083,1,2009,6,1,4,0,0.58,23693
0.25,0.943333333,0,0,0,18.01,0.941118012,0.14,0.415286624,1,2009,6,1,5,0,0.58,24533
0.25,0.94,0,0,0,17.94,0.934906832,0.09,0.425477707,1,2009,6,1,6,0,0.58,26592
0.25,0.62364667,0.09,0.48,9.08,18.43,0.865093168,0,0.496815287,1,2009,6,1,8,0,0.58,45499
0.375,0.935,0.4,1.98,19.68,18.55,0.762484472,0,0.533757962,1,2009,6,1,9,0,0.58,56231
0.4375,0.6235667,0.88,4.7,32.37,18.55,0.655403727,0,0.552866242,1,2009,6,1,10,0,0.58,62163
0.5625,0.7,1.54,7.8,43.95,18.55,0.50931677,0,0.521019108,1,2009,6,1,12,0,0.58,62755
0.6875,0.696666667,1.75,8.92,48.95,18.55,0.465838509,0,0.513375796,1,2009,6,1,13,0,0.58,62442
0.6875,0.693333333,1.43,7.12,41.95,18.55,0.444223602,0,0.517197452,1,2009,6,1,14,0,0.58,63284
0.6875,0.69,1.04,5.7,34.6,18.49,0.444223602,0,0.52611465,1,2009,6,1,15,0,0.58,63551
0.6875,0.72,0.6,3.1,25.7,18.55,0.49242236,0,0.529936306,1,2009,6,1,16,0,0.58,60818
0.625,0.75,0.21,1.02,14.26,18.74,0.577639752,0,0.514649682,1,2009,6,1,17,0,0.58,51756
0.5625,0.78,0.02,0.08,3.84,18.92,0.712795031,0,0.452229299,1,2009,6,1,18,0,0.58,48568
0.5,0.833333333,0,0,0,18.86,0.82136646,0,0.41656051,1,2009,6,1,19,0,0.58,50603
0.375,0.886666667,0,0,0,18.74,0.868074534,0,0.420382166,1,2009,6,1,20,0,0.58,48838
0.375,0.94,0,0,0,18.62,0.891428571,0,0.41910828,1,2009,6,1,21,0,0.58,39657
0.3125,0.94,0,0,0,18.43,0.905341615,0,0.417834395,1,2009,6,1,22,0,0.58,34123
0.25,0.94,0,0,0,18.37,0.920745342,0,0.420382166,1,2009,6,1,23,0,0.58,30656
0.25,0.94,0,0,0,18.31,0.928695652,0,0.430573248,1,2009,7,1,0,2,0.58,28467
0.25,0.943333333,0,0,0,18.31,0.933167702,0,0.447133758,1,2009,7,1,1,2,0.58,27413
0.25,0.946666667,0,0,0,18.25,0.934906832,0,0.464968153,1,2009,7,1,2,2,0.58,26278
0.1875,0.95,0,0,0,18.19,0.936397516,0,0.480254777,1,2009,7,1,3,2,0.58,25308
0.25,0.953333333,0,0,0,18.13,0.937888199,0,0.494267516,1,2009,7,1,4,2,0.58,25491
0.25,0.956666667,0,0,0,18.07,0.941118012,0,0.477707006,1,2009,7,1,5,2,0.58,26134
0.25,0.96,0,0,0,18.07,0.945590062,0,0.444585987,1,2009,7,1,6,2,0.58,29348
0.25,0.956666667,0.01,0.02,1.26,18.13,0.920745342,0,0.447133758,1,2009,7,1,7,2,0.58,36634
0.25,0.953333333,0.09,0.48,8.8,18.55,0.852670807,0,0.504458599,1,2009,7,1,8,2,0.58,46279
0.375,0.95,0.41,2.05,19.43,18.74,0.773416149,0,0.543949045,1,2009,7,1,9,2,0.58,57095
0.5,0.88,0.85,4.62,29.66,18.8,0.691180124,0,0.622929936,1,2009,7,1,10,2,0.58,62266
0.5625,0.81,1.23,6.45,36.77,18.8,0.621118012,0,0.678980892,1,2009,7,1,11,2,0.58,63545
0.5625,0.74,1.55,7.8,43.05,18.8,0.566956522,0,0.696815287,1,2009,7,1,12,2,0.58,63280
0.625,0.696666667,1.62,8.3,44.78,18.74,0.535652174,0,0.691719745,1,2009,7,1,13,2,0.58,62925
0.6875,0.653333333,1.29,6.4,37.52,18.68,0.529689441,0,0.677707006,1,2009,7,1,14,2,0.58,63753
0.6875,0.61,1.01,5.62,32.79,18.68,0.557515528,0,0.658598726,1,2009,7,1,15,2,0.58,63749
0.625,0.653333333,0.52,2.67,20.8,18.8,0.619627329,0,0.630573248,1,2009,7,1,16,2,0.58,59773
0.5625,0.696666667,0.17,0.83,10.84,18.92,0.701863354,0,0.6,1,2009,7,1,17,2,0.58,50793
0.5,0.74,0.02,0.08,2.92,18.98,0.793540373,0,0.54522293,1,2009,7,1,18,2,0.58,47610
0.4375,0.806666667,0,0,0,18.8,0.863354037,0,0.505732484,1,2009,7,1,19,2,0.58,50482
0.375,0.873333333,0,0,0,18.62,0.891428571,0,0.489171975,1,2009,7,1,20,2,0.58,48815
0.375,0.94,0,0,0,18.49,0.903850932,0,0.476433121,1,2009,7,1,21,2,0.58,39911
0.3125,0.946666667,0,0,0,18.43,0.906832298,0,0.470063694,1,2009,7,1,22,2,0.58,33469
0.3125,0.953333333,0,0,0,18.37,0.920745342,0,0.448407643,1,2009,7,1,23,2,0.58,31038
0.3125,0.96,0,0,0,18.31,0.928695652,0,0.450955414,1,2009,8,1,0,5,0.58,28365
0.3125,0.96,0,0,0,18.31,0.931677019,0,0.467515924,1,2009,8,1,1,5,0.58,26895
0.25,0.96,0,0,0,18.25,0.928695652,0,0.496815287,1,2009,8,1,2,5,0.58,25906
0.25,0.96,0,0,0,18.13,0.919254658,0,0.531210191,1,2009,8,1,3,5,0.58,25066
0.25,0.956666667,0,0,0,18.01,0.906832298,0,0.571974522,1,2009,8,1,4,5,0.58,24908
0.25,0.953333333,0,0,0,17.88,0.900621118,0,0.578343949,1,2009,8,1,5,5,0.58,25798
0.1875,0.95,0,0,0,17.82,0.900621118,0,0.56433121,1,2009,8,1,6,5,0.58,28553
0.1875,0.85,0.01,0.02,1.38,17.82,0.886708075,0,0.565605096,1,2009,8,1,7,5,0.58,36103
0.25,0.75,0.09,0.48,9.58,18.01,0.830807453,0,0.610191083,1,2009,8,1,8,5,0.58,46230
0.375,0.65,0.44,2.17,21.78,18.19,0.756273292,0,0.648407643,1,2009,8,1,9,5,0.58,56703
0.4375,0.663333333,0.91,4.83,33.05,18.13,0.66931677,0,0.727388535,1,2009,8,1,10,5,0.58,61633
0.4375,0.676666667,1.33,6.92,40.55,18.01,0.599503106,0,0.812738854,1,2009,8,1,11,5,0.58,62766
0.625,0.69,1.52,7.55,42.43,17.94,0.554534161,0,0.847133758,1,2009,8,1,12,5,0.58,62163
0.6875,0.743333333,1.51,7.55,41.19,17.88,0.51552795,0,0.852229299,1,2009,8,1,13,5,0.58,61714
0.625,0.796666667,1.3,6.42,37.5,17.76,0.50310559,0,0.840764331,1,2009,8,1,14,5,0.58,62128
0.625,0.85,1.03,5.65,33.24,17.76,0.52173913,0,0.814012739,1,2009,8,1,15,5,0.58,61966
0.5625,0.89,0.48,2.5,19.45,17.88,0.571428571,0,0.766878981,1,2009,8,1,16,5,0.58,58857
0.5,0.93,0.15,0.73,9.22,18.07,0.647453416,0,0.70955414,1,2009,8,1,17,5,0.58,50635
0.4375,0.97,0.02,0.08,3.36,18.25,0.760993789,0,0.621656051,1,2009,8,1,18,5,0.58,47718
0.375,0.97,0,0,0,18.25,0.844720497,0,0.568152866,1,2009,8,1,19,5,0.58,48927
0.375,0.97,0,0,0,18.19,0.865093168,0,0.552866242,1,2009,8,1,20,5,0.58,47476
0.3125,0.97,0,0,0,18.07,0.872795031,0,0.543949045,1,2009,8,1,21,5,0.58,39695
0.3125,0.966666667,0,0,0,18.07,0.880496894,0,0.52866242,1,2009,8,1,22,5,0.58,33108
0.3125,0.963333333,0,0,0,18.01,0.894409938,0,0.501910828,1,2009,8,1,23,5,0.58,30258
0.3125,0.96,0,0,0,17.94,0.895900621,0,0.514649682,1,2009,9,1,0,1,0.58,28023
0.3125,0.963333333,0,0,0,17.88,0.889937888,0,0.54522293,1,2009,9,1,1,1,0.58,26578
0.25,0.966666667,0,0,0,17.82,0.897639752,0,0.538853503,1,2009,9,1,2,1,0.58,25658
0.25,0.97,0,0,0,17.76,0.906832298,0,0.542675159,1,2009,9,1,3,1,0.58,25044
0.25,0.973333333,0,0,0,17.7,0.910062112,0,0.552866242,1,2009,9,1,4,1,0.58,25086
0.25,0.976666667,0,0,0,17.64,0.911552795,0,0.538853503,1,2009,9,1,5,1,0.58,25982
0.25,0.98,0,0,0,17.58,0.916273292,0,0.518471338,1,2009,9,1,6,1,0.58,28811
0.25,0.953333333,0,0.02,1.05,17.64,0.894409938,0,0.538853503,1,2009,9,1,7,1,0.58,35799
0.25,0.926666667,0.08,0.4,7.7,17.88,0.83552795,0.03,0.582165605,1,2009,9,1,8,1,0.58,46134
0.3125,0.9,0.37,1.83,17.92,18.01,0.762484472,0.03,0.61910828,1,2009,9,1,9,1,0.58,57085
0.4375,0.84,0.72,3.88,25.79,17.94,0.674037267,0.02,0.718471338,1,2009,9,1,10,1,0.58,61732
0.5,0.78,1.09,5.62,32.94,17.7,0.585341615,0.02,0.856050955,1,2009,9,1,11,1,0.58,62745
0.625,0.72,1.32,6.55,36.64,17.4,0.512546584,0.01,0.946496815,1,2009,9,1,12,1,0.58,61201
0.5625,0.723333333,1.39,6.95,38.88,17.15,0.473540373,0.01,0.960509554,1,2009,9,1,13,1,0.58,59993
0.5625,0.726666667,1.36,6.7,40.48,16.91,0.461118012,0.01,0.936305732,1,2009,9,1,14,1,0.58,61386
0.6875,0.73,0.98,5.45,33.34,16.78,0.470559006,0,0.905732484,1,2009,9,1,15,1,0.58,61695
0.5625,0.793333333,0.5,2.6,21.34,16.72,0.512546584,0,0.850955414,1,2009,9,1,16,1,0.58,59307
0.5,0.856666667,0.16,0.83,11,16.97,0.596273292,0,0.759235669,1,2009,9,1,17,1,0.58,50715
0.4375,0.92,0.02,0.05,2.93,17.21,0.705093168,0,0.645859873,1,2009,9,1,18,1,0.58,48161
0.4375,0.926666667,0,0,0,17.15,0.785838509,0,0.565605096,1,2009,9,1,19,1,0.58,50818
0.375,0.933333333,0,0,0,17.21,0.819875776,0,0.512101911,1,2009,9,1,20,1,0.58,49033
0.3125,0.94,0,0,0,17.21,0.838509317,0,0.475159236,1,2009,9,1,21,1,0.58,39879
0.3125,0.95,0,0,0,17.21,0.847950311,0,0.47388535,1,2009,9,1,22,1,0.58,34111
0.3125,0.96,0,0,0,17.21,0.85863354,0,0.484076433,1,2009,9,1,23,1,0.58,30132
0.25,0.97,0,0,0,17.21,0.865093168,0,0.508280255,1,2009,10,1,0,3,0.58,27071
0.25,0.966666667,0,0,0,17.15,0.871055901,0,0.527388535,1,2009,10,1,1,3,0.58,25440
0.25,0.963333333,0,0,0,17.09,0.872795031,0,0.554140127,1,2009,10,1,2,3,0.58,25769
0.1875,0.96,0,0,0,17.09,0.874285714,0,0.591082803,1,2009,10,1,3,3,0.58,24853
0.1875,0.953333333,0,0,0,17.03,0.877515528,0.01,0.625477707,1,2009,10,1,4,3,0.58,24684
0.1875,0.946666667,0,0,0,17.03,0.879006211,0,0.638216561,1,2009,10,1,5,3,0.58,25292
0.1875,0.94,0,0,0,16.97,0.883478261,0,0.608917197,1,2009,10,1,6,3,0.58,26845
0.1875,0.89,0,0.02,1,17.09,0.865093168,0,0.601273885,1,2009,10,1,7,3,0.58,28526
0.1875,0.84,0.09,0.4,8.34,17.33,0.763975155,0,0.670063694,1,2009,10,1,8,3,0.58,33323
0.25,0.79,0.34,1.73,17.71,17.21,0.613416149,0,0.78089172,1,2009,10,1,9,3,0.58,44291
0.375,0.783333333,0.76,4.02,28.13,16.97,0.47826087,0,0.857324841,1,2009,10,1,10,3,0.58,49659
0.5,0.776666667,1.21,6.27,38.09,16.85,0.397515528,0,0.859872611,1,2009,10,1,11,3,0.58,50415
0.5625,0.77,1.35,6.8,38.79,16.78,0.34931677,0,0.848407643,1,2009,10,1,12,3,0.58,50178
0.625,0.763333333,1.27,6.38,35.15,16.66,0.32447205,0,0.839490446,1,2009,10,1,13,3,0.58,47193
0.5625,0.756666667,1,4.95,29.05,16.54,0.33242236,0,0.833121019,1,2009,10,1,14,3,0.58,46476
0.5,0.75,0.66,3.5,20.98,16.36,0.371180124,0,0.822929936,1,2009,10,1,15,3,0.58,45443
0.5,0.796666667,0.38,1.95,15.45,16.3,0.427080745,0,0.794904459,1,2009,10,1,16,3,0.58,44754
0.5,0.843333333,0.12,0.62,8.27,16.36,0.506335404,0,0.738853503,1,2009,10,1,17,3,0.58,44443
0.4375,0.89,0.01,0.05,2.3,16.6,0.64447205,0,0.607643312,1,2009,10,1,18,3,0.58,45393
0.375,0.89,0,0,0,16.6,0.750062112,0,0.527388535,1,2009,10,1,19,3,0.58,48925
0.375,0.89,0,0,0,16.48,0.779627329,0,0.507006369,1,2009,10,1,20,3,0.58,47713
0.3125,0.89,0,0,0,16.42,0.793540373,0,0.508280255,1,2009,10,1,21,3,0.58,38899
0.3125,0.906666667,0,0,0,16.36,0.801242236,0,0.540127389,1,2009,10,1,22,3,0.58,32849
0.3125,0.923333333,0,0,0,16.36,0.81689441,0,0.565605096,1,2009,10,1,23,3,0.58,30401
0.25,0.94,0,0,0,16.36,0.832298137,0,0.598726115,0,2009,11,1,0,6,0.58,28216
0.25,0.94,0,0,0,16.42,0.850931677,0,0.608917197,0,2009,11,1,1,6,0.58,26577
0.1875,0.94,0,0,0,16.42,0.869565217,0,0.56433121,0,2009,11,1,2,6,0.58,25192
0.1875,0.94,0,0,0,16.36,0.888198758,0,0.49044586,0,2009,11,1,3,6,0.58,24339
0.1875,0.93,0,0,0,16.36,0.903850932,0,0.436942675,0,2009,11,1,4,6,0.58,23915
0.1875,0.92,0,0,0,16.36,0.908322981,0,0.425477707,0,2009,11,1,5,6,0.58,24162
0.1875,0.91,0,0,0,16.42,0.906832298,0,0.429299363,0,2009,11,1,6,6,0.58,25497
0.1875,0.846666667,0,0.02,0.91,16.6,0.881987578,0,0.456050955,0,2009,11,1,7,6,0.58,24822
